loja_nome,segmento,shopping,valor,cupons
.,Beleza e Bem-estar,Balneário Shopping,584629.78,1091
.,Beleza e Bem-estar,Continente Shopping,3506.9,7
.,Calçados,Balneário Shopping,1499038.27,1513
.,Calçados,Garten Shopping,586255.9400000001,969
.,Gastronomia,Continente Shopping,4249.39,90
.,Gastronomia,Neumarkt Shopping,38361.35,140
.,Infantil,Garten Shopping,169.8,2
.,Ótica,Garten Shopping,328767.51,233
10 Pastéis,Gastronomia,Balneário Shopping,53101.09,1191
10 Pastéis,Gastronomia,Garten Shopping,18054.8,448
10 Pastéis Joinville,Gastronomia,Garten Shopping,6178.75,172
A Fabulosa,Presentes e Acessórios,Norte Shopping,114890.67,1942
AC BRASIL,Ótica,Garten Shopping,744.5,2
ACIUM,Joalheria,Continente Shopping,29711.99,78
ACIUM,Joalheria,Neumarkt Shopping,6471.33,21
ACIUM,Joalheria,Norte Shopping,7550.58,24
ADCOS,Beleza e Bem-estar,Continente Shopping,540222.08,1005
ADCOS,Beleza e Bem-estar,Garten Shopping,399670.86,995
AJFans (Inativo),Moda,Continente Shopping,3890.0,5
AJFans Balneário Shopping,Promocional,Balneário Shopping,15500.0,14
AJFans Garten Shopping (Ação especial),Promocional,Garten Shopping,3500.0,7
AJFans Nações Shopping (Ação especial),Telefonia,Nações Shopping,11000.0,16
AJFans Neumarkt,Promocional,Neumarkt Shopping,8500.0,16
AJFans Norte Shopping (Ação especial),Promocional,Norte Shopping,1500.0,3
ALLMINI,Presentes e Acessórios,Norte Shopping,64411.8,615
ANACAPRI,Calçados,Balneário Shopping,190978.36000000002,784
ARAMIS,Moda,Garten Shopping,6532.05,8
Acium,Joalheria,Neumarkt Shopping,105633.5,365
Acium,Presentes e Acessórios,Balneário Shopping,66177.48,220
Acium,Presentes e Acessórios,Garten Shopping,49121.11,144
Acium,Presentes e Acessórios,Norte Shopping,52497.94,161
Acuo,Moda,Nações Shopping,373070.33,1144
Acuvue Lentes,Ótica,Balneário Shopping,36806.46,86
Adcos,Beleza e Bem-estar,Balneário Shopping,555595.07,1413
Adcos,Beleza e Bem-estar,Nações Shopping,196669.49,416
Adcos,Beleza e Bem-estar,Neumarkt Shopping,390576.2,1149
Adidas,Esportes,Balneário Shopping,669675.83,1090
Adidas,Esportes,Garten Shopping,742930.25,1266
Adidas,Esportes,Neumarkt Shopping,803174.38,1542
Adidas,Moda,Balneário Shopping,784353.52,1200
Adidas Originals,Moda,Balneário Shopping,610042.74,923
Alice Salazar,Beleza e Bem-estar,Garten Shopping,7004.36,51
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,87610.57,408
Altenburg,Casa e Decoração,Balneário Shopping,1142284.21,1066
Altenburg,Casa e Decoração,Continente Shopping,777567.2,716
Alô Bebê,Infantil,Balneário Shopping,493968.41,1356
Alô Bebê,Infantil,Continente Shopping,463715.24,1496
Anacapri,Calçados,Neumarkt Shopping,121045.65000000001,554
Anacapri,Calçados Femininos,Garten Shopping,142831.69,616
Anacapri,Lazer,Continente Shopping,298836.17,1129
Animale,Moda Feminina,Balneário Shopping,712728.89,405
Anjos Colchões & Sofás,Casa e Decoração,Neumarkt Shopping,507867.13,111
Anselmi,Moda Feminina,Balneário Shopping,362233.96,220
