loja_nome,segmento,shopping,valor,cupons
.,Beleza e Bem-estar,Balneário Shopping,112153.93000000001,209
.,Beleza e Bem-estar,Continente Shopping,1200.0,1
.,Calçados,Balneário Shopping,317787.01,324
.,Calçados,Garten Shopping,61467.16,113
.,Gastronomia,Continente Shopping,273.2,8
.,Gastronomia,Neumarkt Shopping,641.87,2
10 Pastéis,Gastronomia,Balneário Shopping,8499.9,173
10P Pastelaria Joinville,Gastronomia,Garten Shopping,1046.4,32
A Fabulosa,Presentes e Acessórios,Norte Shopping,6555.95,132
ADCOS,Beleza e Bem-estar,Continente Shopping,27455.76,60
ADCOS,Beleza e Bem-estar,Garten Shopping,20649.53,55
AJ FANS Neumarkt,Promocional,Neumarkt Shopping,1000.0,2
AJFans Balneário Shopping,Promocional,Balneário Shopping,500.0,1
AJFans Garten Shopping (Ação especial),Promocional,Garten Shopping,1000.0,2
AJFans Nações Shopping (Ação especial),Telefonia,Nações Shopping,4000.0,6
AJFans Norte Shopping (Ação especial),Promocional,Norte Shopping,1000.0,2
ALLMINI,Presentes e Acessórios,Norte Shopping,10150.09,95
Acium,Joalheria,Neumarkt Shopping,9507.14,26
Acium,Presentes e Acessórios,Balneário Shopping,5526.5,21
Acium,Presentes e Acessórios,Garten Shopping,6468.0,18
Acium,Presentes e Acessórios,Norte Shopping,2611.0,8
Acuo,Moda,Nações Shopping,9307.01,22
Acuvue Lentes,Ótica,Balneário Shopping,1253.46,3
Adcos,Beleza e Bem-estar,Balneário Shopping,43574.97,119
Adcos,Beleza e Bem-estar,Nações Shopping,1914.09,6
Adcos,Beleza e Bem-estar,Neumarkt Shopping,35825.58,108
Adidas,Esportes,Balneário Shopping,114758.39,226
Adidas,Esportes,Neumarkt Shopping,108925.12,227
Adidas Originals,Moda,Balneário Shopping,81460.63,158
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,11245.0,39
Altenburg,Casa e Decoração,Balneário Shopping,129322.4,100
Altenburg,Casa e Decoração,Continente Shopping,26215.49,24
Americanas,Eletrodomésticos,Nações Shopping,8884.74,213
Anacapri,Calçados Femininos,Garten Shopping,26136.02,119
Anacapri,Não informado,Continente Shopping,22992.81,96
Anjos Colchões & Sofás,Casa e Decoração,Neumarkt Shopping,63228.0,17
Anselmi,Moda Feminina,Balneário Shopping,68725.51,39
Aramis,Moda,Balneário Shopping,81675.45999999999,76
Aramis,Moda,Nações Shopping,7302.01,8
Aramis,Moda,Neumarkt Shopping,48749.51,58
Aramis Menswear,Moda,Garten Shopping,30475.7,41
Arezzo,Calçados,Continente Shopping,96845.12,222
Arezzo,Calçados,Garten Shopping,45158.21,103
Arezzo,Calçados,Nações Shopping,8082.98,19
Arezzo,Calçados,Neumarkt Shopping,71538.22,170
Arezzo,Calçados,Norte Shopping,41772.79,115
Arezzo,Calçados Femininos,Balneário Shopping,159347.23,322
Arquipélago  Sushi,Gastronomia,Continente Shopping,29318.71,71
Arranjos Express,Serviços,Garten Shopping,357.0,2
Artwalk,Calçados,Balneário Shopping,42151.5,43
Atacadão,Supermercado,Norte Shopping,196978.57,1223
Audithorium,Moda,Balneário Shopping,62559.58,107
Audithorium,Moda,Garten Shopping,38585.31,78
Audithorium Menswear,Moda,Continente Shopping,28843.92,71
Authentic Feet,Moda,Neumarkt Shopping,23173.86,31
Avatim,Beleza e Bem-estar,Nações Shopping,5747.1,43
Avatim,Beleza e Bem-estar,Neumarkt Shopping,84711.25,494
Avatim,Beleza e Bem-estar,Norte Shopping,40198.61,273
Avatim Cheiros Da Terra,Beleza e Bem-estar,Garten Shopping,42629.2,249
Avatim Cheiros Da Terra,Presentes e Acessórios,Garten Shopping,494.0,3
Aventura Jurássica,Serviços,Balneário Shopping,39.0,1
BRANDO BIKES,Presentes e Acessórios,Continente Shopping,11351.0,5
Bacio di Latte,Gastronomia,Balneário Shopping,33457.22,548
Bacio di Latte,Gastronomia,Continente Shopping,33313.67,662
Bagaggio,Presentes e Acessórios,Balneário Shopping,35123.82,75
Bagaggio,Presentes e Acessórios,Continente Shopping,45919.74,107
Bagaggio,Presentes e Acessórios,Garten Shopping,57251.79,130
Bagaggio,Presentes e Acessórios,Nações Shopping,6836.7,13
Bagaggio,Presentes e Acessórios,Neumarkt Shopping,35710.159999999996,81
Baier Joalheria,Joalheria,Neumarkt Shopping,46403.18,19
Balneário Shopping - Estacionamento,Serviços,Balneário Shopping,18675.0,476
Baummer,Joalheria,Nações Shopping,2687.27,13
Baummer Semijóias,Presentes e Acessórios,Garten Shopping,4310.17,36
Beagle,Moda,Balneário Shopping,19413.89,55
Beagle,Moda,Continente Shopping,31336.91,92
Beagle,Moda,Garten Shopping,46519.82,113
Beagle,Moda,Nações Shopping,6538.76,22
Beagle,Moda,Norte Shopping,25280.03,71
BelShop,Beleza e Bem-estar,Nações Shopping,7139.26,62
Belshop,Beleza e Bem-estar,Neumarkt Shopping,23975.07,215
Bergerson,Joalheria,Garten Shopping,88568.0,7
Bibi,Infantil,Balneário Shopping,32616.149999999998,68
Bibi Calçados,Calçados,Garten Shopping,19567.06,46
Big Jack Cervejaria,Gastronomia,Nações Shopping,72.0,3
BioMundo Produtos Naturais,Beleza e Bem-estar,Neumarkt Shopping,9445.85,74
Biscoitê,Gastronomia,Balneário Shopping,3890.87,16
Bkko,Moda,Norte Shopping,12999.82,32
Boali,Gastronomia,Garten Shopping,169.6,3
Bob's,Gastronomia,Balneário Shopping,3867.7,116
Bob's,Gastronomia,Norte Shopping,2929.67,82
Bob's (Quiosque 1),Gastronomia - Sorvetes,Norte Shopping,302.5,17
Bob's (Quiosque 2),Gastronomia - Sorvetes,Norte Shopping,431.7,22
Bob's - Quiosque,Gastronomia,Nações Shopping,109.0,6
Bob's Sorvete - Quiosque,Gastronomia,Continente Shopping,6462.5,212
Boiko,Joalheria,Balneário Shopping,93952.8,22
Boiko Joalheiros,Joalheria,Norte Shopping,5386.6,6
Bom Beef,Gastronomia,Continente Shopping,24162.14,269
Bondyou,Presentes e Acessórios,Balneário Shopping,1083.19,16
Bonna Panquecas e Massas,Gastronomia,Balneário Shopping,4368.7,67
Borelli,Gastronomia,Balneário Shopping,4116.66,79
Borelli Gelato,Gastronomia - Sorvetes,Continente Shopping,6546.24,171
Boss,Moda,Balneário Shopping,123286.83,69
Botoclinic,Beleza e Bem-estar,Continente Shopping,8848.77,8
Botoclinic,Beleza e Bem-estar,Garten Shopping,7090.3,7
Botoclinic,Beleza e Bem-estar,Norte Shopping,4094.0,6
Bottero,Calçados,Balneário Shopping,28169.829999999998,73
Bottero,Calçados,Neumarkt Shopping,48565.89,112
Brando Bike,Outros,Norte Shopping,20542.0,6
Brasil Cacau,Gastronomia,Continente Shopping,22672.6,308
Brasileirisse,Gastronomia,Norte Shopping,187.92000000000002,4
Bread Pide,Gastronomia,Balneário Shopping,6252.8099999999995,97
Brooksfield,Moda,Balneário Shopping,214577.98,137
Brooksfield,Moda,Continente Shopping,91014.22,80
Brooksfield,Moda,Garten Shopping,75845.93000000001,71
Brooksfield,Moda,Neumarkt Shopping,88254.85,78
Buddha Spa,Serviços,Balneário Shopping,1087.34,3
Bull Prime Steak House,Gastronomia,Garten Shopping,7335.68,25
Burger King,Gastronomia,Balneário Shopping,12279.36,231
Burger King,Gastronomia,Continente Shopping,14162.69,248
Burger King,Gastronomia,Garten Shopping,4584.15,103
Burger King,Gastronomia,Nações Shopping,4336.99,82
