cliente_id,loja_nome,n,valor
152,Café Cultura,2,43.01
152,Madero,2,231.0
168,Arquipélago  Sushi,1,677.6
168,Bacio di Latte,2,193.8
168,Cacau Show,2,488.97
168,Docejo,1,27.0
168,Outback Steakhouse,1,140.36
168,Riachuelo,1,129.98
168,Swell Poke,1,40.0
195,Lez a Lez,1,119.97
259,Avatim,2,1132.0
259,Cacau Show,1,107.0
259,Riachuelo,1,309.97
266,Atacadão,1,24.65
266,Kalunga,4,69.69
266,Kfc,3,194.1
266,Leo Cosméticos,1,22.0
266,Magazine Luiza,2,3160.06
266,Norte Shopping - Estacionamento,1,14.0
266,Renner,1,59.8
272,Pittol,8,4229.15
277,Cobasi,1,40.38
375,Burger King,3,229.4
375,KFC,1,13.89
375,McDonald's,5,388.7
568,Avatim,1,134.0
568,Cacau Show,1,228.95
568,Café Cultura,1,38.0
568,Feng Cheng,1,26.87
568,Gondolier,1,47.0
568,Havan,1,162.39
568,Kalunga,1,7.9
568,LOJAS AMERICANAS,5,447.39
568,Livrarias Catarinense,1,51.7
568,Mamma Mia Express,2,145.0
568,McDonald's,1,61.9
607,Live!,1,419.8
607,Track&Field,1,1059.0
611,Cacau Show,1,119.99
611,Jorge Bischoff,1,1234.05
611,Oakley,1,1.56
611,Zara,1,399.5
617,Havan,1,119.0
617,Lindt,1,219.89
649,Griletto,1,18.5
649,McDonald's,3,106.5
649,Mr. Cheff,3,71.0
649,Riachuelo,1,179.99
649,Tommy Hilfiger,1,199.0
713,Fátima Papelaria,1,20.0
713,Griletto,1,33.4
713,Mini Kalzone,2,65.0
713,Panvel Farmácias,1,14.95
736,Gondolier,1,70.0
736,Lindt,1,102.96
736,Youcom,1,239.8
752,Burger King,2,62.8
752,Cacau Show,1,269.0
752,Chiquinho Sorvetes,1,20.0
752,Estação Choperia,5,332.0
752,Feng Cheng,1,36.31
752,Gondolier,5,229.02
752,Havan,2,47.96
752,LOJAS AMERICANAS,1,6.0
752,Mamma Mia Express,1,57.0
752,McDonald's,4,166.3
752,Mini Kalzone,5,120.3
752,Orientali,1,41.0
752,Panvel Farmácias,3,2147.19
752,Riachuelo,1,679.83
769,Balneário Shopping - Estacionamento,1,30.0
769,Sestini,1,789.8
770,Atacadão,2,192.68
770,Havan,1,25.98
770,JCanedo,1,188.04
901,Boali,1,43.0
901,Pittol,1,149.0
986,Cassol Centerlar,1,35.9
986,Cobasi,1,160.8
986,Via Pian Food,1,193.99
988,Norte Shopping - Estacionamento,1,20.0
1007,Shoulder,1,399.0
1035,Hering Store,1,569.96
1035,Hope,1,365.72
1035,Renner,1,219.8
1035,Riachuelo,1,949.92
1144,Avatim,1,394.0
1144,Neumarkt Shopping - Estacionamento,1,22.0
1144,Youcom,1,199.9
1213,Floripratas,1,98.1
1213,Lojas Americanas,1,3.39
1303,JAH Açaí,1,43.16
1303,Renner,1,659.5
1391,JAH Açaí,1,10.0
1391,Lupo,1,233.0
1391,Outback SteakHouse,1,179.98
1427,C&A,1,145.98
1427,Giraffas,1,40.0
1427,HOT DOG DUPIRU,1,28.0
1449,Renner,1,379.8
1533,Continente Shopping - Estacionamento,1,20.0
1941,Casa Maria,1,35.36
2091,Burger King,1,15.9
2091,Pittol,1,99.89
2091,Riachuelo,1,279.0
2213,Atacadão,1,246.94
2213,Centauro,1,411.48
2213,Cobasi,1,55.17
2213,Kalunga,1,2269.9
2213,Pizza Hut,1,39.9
2213,Starbucks,1,40.0
2254,Cacau Show,1,33.0
2254,Kib´s,1,37.55
2374,Artwalk,2,2598.99
2374,Authentic Feet,1,899.99
2374,Balneário Shopping - Estacionamento,2,25.0
2374,Cacau Show,1,114.0
2374,Café Cultura,4,159.0
2374,Celular Shop,1,149.0
2374,Freddo,1,76.5
2374,LOJAS AMERICANAS,2,173.41
2374,Livrarias Catarinense,3,214.5
2374,Lupo,1,41.9
2374,Madero,2,172.26
2374,Miniso,1,99.99
2374,Panvel Farmácias,1,26.58
2374,Sunglass Hut,1,3522.0
2374,Tommy Hilfiger,1,1198.0
2374,Zara,5,1492.5
2440,Estacionamento - Nações Shopping,1,10.0
2588,Audithorium Menswear,1,1989.3
2588,C&A,1,259.99
2588,Docejo,1,96.0
2588,Havaianas,1,49.99
2600,Grano Pasta Ristorante,1,158.0
2600,Havan,1,169.97
2600,Kalunga,1,24.8
2600,Livrarias Curitiba,1,209.7
2600,Pittol,1,849.0
2643,Cassol Centerlar,1,1699.0
2643,Donna Mirô,1,62.0
2643,Estacionamento - Nações Shopping,1,10.0
2643,Lug's,1,28.99
2643,Renner,1,349.5
2643,Santo Boteco,1,119.72
2685,General Lyy,5,1799.57
2714,FATIMA ESPORTES,1,731.96
2714,Renner,1,379.8
2720,Estacionamento - Nações Shopping,1,10.0
2934,Centauro,1,369.98
2934,Pratafina,1,108.0
2945,Cacau Show,1,43.0
2945,McDonald's,2,136.7
2955,Centauro,1,949.98
2955,Lindt,1,756.08
2955,Livrarias Catarinense,2,272.0
2955,Renner,1,159.9
2987,C&A,1,319.97
3019,Renner,1,69.9
3107,Lojas Americanas,1,13.48
3107,Manteigaria do Porto,1,27.9
3107,Renner,1,65.9
3107,Studio Z,1,99.97
3184,Avatim,1,174.0
3184,Hope,2,548.03
3184,Livrarias Catarinense,3,176.5
3184,Me.Linda,1,109.9
