loja_nome,segmento,shopping,valor,cupons
10 Pastéis,Gastronomia,Balneário Shopping,766.95,21
A Fabulosa,Presentes e Acessórios,Norte Shopping,671.7099999999999,18
ADCOS,Beleza e Bem-estar,Continente Shopping,2278.38,5
ADCOS,Beleza e Bem-estar,Garten Shopping,2245.56,5
AJFans Nações Shopping (Ação especial),Telefonia,Nações Shopping,1000.0,2
AJFans Neumarkt,Promocional,Neumarkt Shopping,500.0,1
ALLMINI,Presentes e Acessórios,Norte Shopping,614.94,6
Acuo,Moda,Nações Shopping,4632.84,10
Adcos,Beleza e Bem-estar,Balneário Shopping,3983.0,11
Adcos,Beleza e Bem-estar,Nações Shopping,1488.91,2
Adidas,Esportes,Balneário Shopping,14510.220000000001,18
Adidas,Esportes,Neumarkt Shopping,17164.53,29
Adidas Originals,Moda,Balneário Shopping,16653.47,19
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,1507.0,5
Altenburg,Casa e Decoração,Balneário Shopping,451.46,2
Altenburg,Casa e Decoração,Continente Shopping,11374.0,5
Anacapri,Calçados Femininos,Garten Shopping,2736.5,11
Anacapri,Lazer,Continente Shopping,1810.73,6
Aramis,Moda,Balneário Shopping,2184.0,1
Aramis,Moda,Nações Shopping,9154.81,8
Aramis,Moda,Neumarkt Shopping,5598.63,5
Aramis Menswear,Moda,Garten Shopping,6819.0,3
Arezzo,Calçados,Continente Shopping,6198.37,13
Arezzo,Calçados,Garten Shopping,5637.3,8
Arezzo,Calçados,Nações Shopping,5118.18,7
Arezzo,Calçados,Neumarkt Shopping,20078.66,36
Arezzo,Calçados,Norte Shopping,6305.51,15
Arezzo,Calçados Femininos,Balneário Shopping,7688.7,19
Arquipélago  Sushi,Gastronomia,Continente Shopping,2064.7,7
Artwalk,Calçados,Balneário Shopping,2985.98,4
AstroBox,Gastronomia,Continente Shopping,1158.9299999999998,21
Atacadão,Supermercado,Norte Shopping,52142.17,290
Audithorium,Moda,Balneário Shopping,3723.83,5
Audithorium,Moda,Garten Shopping,4886.51,9
Audithorium Menswear,Moda,Continente Shopping,11348.76,12
Authentic Feet,Moda,Neumarkt Shopping,4578.42,7
Avatim,Beleza e Bem-estar,Nações Shopping,4595.0,24
Avatim,Beleza e Bem-estar,Neumarkt Shopping,11927.0,66
Avatim,Beleza e Bem-estar,Norte Shopping,14111.0,93
BRANDO BIKES,Esportes,Continente Shopping,1.35,1
Bacio di Latte,Gastronomia,Balneário Shopping,4257.53,62
Bacio di Latte,Gastronomia,Continente Shopping,4814.29,79
Bagaggio,Presentes e Acessórios,Balneário Shopping,1465.25,2
Bagaggio,Presentes e Acessórios,Continente Shopping,4456.45,7
Bagaggio,Presentes e Acessórios,Garten Shopping,6115.86,8
Bagaggio,Presentes e Acessórios,Nações Shopping,2904.63,6
Bagaggio,Presentes e Acessórios,Neumarkt Shopping,9826.66,11
Balneário Shopping - Estacionamento,Serviços,Balneário Shopping,855.0,22
Baummer,Joalheria,Nações Shopping,304.7,1
Baummer Semijóias,Presentes e Acessórios,Garten Shopping,355.5,4
Beagle,Moda,Balneário Shopping,879.55,5
Beagle,Moda,Continente Shopping,11515.04,17
Beagle,Moda,Garten Shopping,14517.810000000001,29
Beagle,Moda,Nações Shopping,3408.92,9
Beagle,Moda,Norte Shopping,2994.0,6
BelShop,Beleza e Bem-estar,Nações Shopping,2662.74,23
Belshop,Beleza e Bem-estar,Neumarkt Shopping,4545.24,29
Bibi,Infantil,Balneário Shopping,3204.91,12
Bibi Calçados,Calçados,Garten Shopping,1778.07,5
Big Jack Cervejaria,Gastronomia,Nações Shopping,26.0,1
BioMundo Produtos Naturais,Beleza e Bem-estar,Neumarkt Shopping,1093.4,11
Bkko,Moda,Norte Shopping,1040.41,4
Bob's,Gastronomia,Balneário Shopping,83.1,5
Bob's,Gastronomia,Norte Shopping,614.5699999999999,18
Bob's (Quiosque 1),Gastronomia - Sorvetes,Norte Shopping,43.0,2
Bob's (Quiosque 2),Gastronomia - Sorvetes,Norte Shopping,5.0,1
Bob's Sorvete - Quiosque,Gastronomia,Continente Shopping,1377.3999999999999,59
Boiko Joalheiros,Joalheria,Norte Shopping,775.0,3
Bom Beef,Gastronomia,Continente Shopping,2467.74,29
Bondyou,Presentes e Acessórios,Balneário Shopping,498.6,5
Bonna Panquecas e Massas,Gastronomia,Balneário Shopping,617.5,10
Borelli Gelato,Gastronomia - Sorvetes,Continente Shopping,755.0,18
Boss,Moda,Balneário Shopping,6479.0,6
Botoclinic,Beleza e Bem-estar,Continente Shopping,599.0,1
Botoclinic,Beleza e Bem-estar,Garten Shopping,4497.0,3
Bottero,Calçados,Balneário Shopping,1624.5,4
Bottero,Calçados,Neumarkt Shopping,6968.3,10
Brasil Cacau,Gastronomia,Continente Shopping,10414.039999999999,82
Bread Pide,Gastronomia,Balneário Shopping,290.61,6
Brooksfield,Moda,Balneário Shopping,22771.23,8
Brooksfield,Moda,Continente Shopping,3295.24,3
Brooksfield,Moda,Garten Shopping,1998.6999999999998,4
Brooksfield,Moda,Neumarkt Shopping,29095.39,19
Buddha Spa,Serviços,Balneário Shopping,572.0,3
Bull Prime Steak House,Gastronomia,Garten Shopping,422.0,2
Burger King,Gastronomia,Balneário Shopping,770.4,13
Burger King,Gastronomia,Continente Shopping,3218.85,57
Burger King,Gastronomia,Garten Shopping,1527.99,33
Burger King,Gastronomia,Nações Shopping,1583.8,30
Burger King,Gastronomia,Neumarkt Shopping,1898.1,31
Burger King,Gastronomia,Norte Shopping,4287.4,61
Békko,Moda,Nações Shopping,7266.7,4
C&A,Moda,Balneário Shopping,27773.45,95
C&A,Moda,Continente Shopping,31690.04,112
C&A,Moda,Garten Shopping,21219.21,84
C&A,Moda,Nações Shopping,19867.27,71
CANTINA MATTERELLO RESTAURANTE E PASTELARIA,Gastronomia,Garten Shopping,527.56,11
CAPA FINA,Telefonia,Garten Shopping,107.72999999999999,3
Cabanas,Moda,Neumarkt Shopping,559.8,3
Cacau Show,Gastronomia,Balneário Shopping,15225.32,59
Cacau Show,Gastronomia,Nações Shopping,5697.71,37
Cacau Show,Gastronomia,Neumarkt Shopping,20720.05,148
