cliente_id,loja_nome,n,valor
151,Casa Olga,2,96.25
151,Estação Choperia,1,22.9
151,Havan,1,599.0
151,Idéli.Oui,1,459.0
151,KFC,1,90.5
151,Kalunga,3,122.0
151,Magazine Luiza,1,2799.1
151,McDonald's,1,23.7
151,Milky moo,1,18.0
151,Panvel Farmácias,1,54.68
152,Avatim Cheiros Da Terra,1,68.0
152,Casa Bauducco,4,181.4
152,Cobasi,1,85.8
152,Dona Torta,2,35.0
152,Giraffas,2,65.0
152,Grano Pasta Ristorante,1,37.0
152,Natura,1,27.9
152,Paquetá Esportes,2,638.98
152,Shawarma Food Joinville,1,32.4
164,Avatim,1,282.0
164,C&A,1,309.97
164,Camarão Express,2,94.0
164,Mini Kalzone,1,25.9
164,Natureza Bistrô,1,51.75
168,Arezzo,2,1554.93
168,Bacio di Latte,6,165.0
168,Brasil Cacau,2,16.0
168,Bubble Mix,1,18.0
168,C&A,2,279.98
168,Cobasi,1,6.0
168,Giraffas,4,112.0
168,Kalunga,1,6.6
168,Leo Cosméticos,3,121.7
168,Lojas Americanas,7,209.88
168,McDonald's,2,52.8
168,O Boticário,2,118.9
168,Renner,3,159.6
168,Ri Happy Baby,1,279.99
168,Subway,1,46.0
168,Swell Poke,2,86.0
169,Bacio di Latte,3,88.4
169,Cacau Show,1,63.99
169,Café Cultura,2,32.0
169,Cartes - Cozinha do Mundo,1,28.77
169,Casa Maria,1,204.67
169,Griletto,1,45.41
169,Kalunga,1,3.7
169,Leo Cosméticos,1,42.0
169,Natura,2,175.9
169,Panvel Farmácias,1,51.99
169,Reserva,1,174.5
169,Santo Kanto Restobar (Inativo),1,43.89
169,Youcom,1,259.7
169,Zanoni Sushi,3,187.11
170,C&A,1,149.0
170,Youcom,1,349.7
195,Arezzo,2,419.8
195,Bacio di Latte,1,9.5
195,Casa Maria,1,16.9
195,Cobasi,1,150.7
195,L'occitane au Brésil,1,84.8
195,Leo Cosméticos,2,61.9
195,Live!,1,649.7
195,Lojas Americanas,2,39.93
195,Me Blue,1,195.3
235,C&A,1,69.98
235,Casa Maria,1,36.8
235,Gamelas & Panella's,4,348.05
235,Swell Poke,1,84.0
241,John John Denim,1,2545.0
241,Kipling,1,399.9
241,Livrarias Catarinense,1,1076.2
241,Puket,1,649.6
241,iPlace Mobile,1,79.0
266,Cobasi,2,31.77
266,Gloriosa Cosméticos,1,38.87
266,Havan,1,186.86
266,Kalunga,4,426.6
266,Livrarias Catarinense,7,449.32
266,Mc Donalds,1,29.9
266,Zenitela,1,179.7
272,Cacau Show,1,157.98
272,Delícia do Vale,1,66.96
272,Havan,3,574.85
272,Lojas Americanas,3,34.94
272,Mini Kalzone,1,16.4
272,Pittol,9,1138.13
277,Cavezzale,1,1778.8
277,Cobasi,1,69.9
277,Havan,1,149.99
277,Preçolândia,1,19.9
277,Riachuelo,1,59.9
281,Body For Sure,1,876.0
281,Paris Cosméticos,1,156.81
288,Altenburg,1,90.86
295,Casa Maria,4,113.38
295,Renner,1,199.9
310,Centauro,1,139.99
310,Nike Unite,1,263.99
375,Burger King,3,103.9
375,Cobasi,1,28.0
375,Kalunga,1,20.4
375,Magazine Luiza,1,259.8
375,McDonald's,2,87.6
375,Mini Kalzone,7,178.15
375,Montana Grill,1,59.9
375,Shawarma Food Joinville,1,58.0
375,Subway,1,35.0
375,Youcom,1,39.8
382,10 Pastéis,4,102.0
382,Bacio di Latte,1,54.9
382,Burger King,1,67.8
382,Cacau Show,2,42.89
382,Centauro,2,689.96
382,Jeronimo,1,24.4
382,Kopenhagen,1,433.19
382,Livrarias Catarinense,1,71.9
382,Lojas Americanas,7,135.39
382,MB acessórios,1,46.66
382,Mc Donald's,1,16.0
382,Metroville,2,57.0
382,Mini Kalzone,1,26.7
382,Stazione Café,4,69.0
382,Subway,2,53.0
382,Track&Field,6,748.42
382,Vans,2,659.97
382,iPlace Mobile,2,4730.0
424,Cobasi,1,57.89
424,Magazine Luiza,1,369.0
424,Outback Steakhouse,1,331.32
424,Pernambucanas,1,33.98
568,Bonna Panquecas,3,129.92
568,Cacau Show,1,107.0
568,Café Cultura,1,14.0
568,FARM,1,529.0
568,Kalunga,1,13.0
568,Livrarias Catarinense,1,41.2
568,Lojas Americanas,1,122.87
568,Madero,1,65.67
568,Mini Kalzone,4,111.9
568,O Boticário,1,76.7
568,Pizza Hut,2,113.4
568,Riachuelo,1,1087.96
568,Studio Z,1,179.98
601,Burger King,1,33.9
601,Mr. Cheff,1,39.99
610,Calvin Klein Jeans,1,159.0
610,Donuts Place,1,19.9
610,Hering Store,1,69.99
610,Lupo,1,28.6
610,Madero,1,224.73
610,McDonald's,2,104.7
610,Mini Kalzone,1,7.0
610,Ri Happy,2,143.0
610,Riachuelo,1,169.8
614,Óticas Chilli Beans,1,4324.98
617,Morana Acessórios,1,1.0
649,Audithorium Menswear,1,159.9
649,Giraffas,3,57.5
649,Griletto,1,20.0
649,Lojas Americanas,1,20.0
649,McDonald's,5,149.5
649,Mr. Cheff,1,23.0
718,Renner,1,579.6
741,Brasil Cacau,1,17.3
741,Lojas Americanas,1,15.98
741,Panvel Farmácias,1,23.87
741,Ri Happy Baby,1,33.98
770,Atacadão,1,73.97
1007,Shoulder,2,2849.5
1115,Cobasi,2,197.53
1115,Renner,1,72.8
1115,Uebel Make Up,1,59.0
1167,Café Cultura,3,175.0
1167,Cobasi,2,223.1
1167,Livraria Catarinense,2,158.7
1167,Riachuelo,1,79.8
1178,Cavezzale,1,179.9
1178,L'Occitane en Provence,1,188.0
1178,Lojas Americanas,1,13.98
1178,McDonald's,2,58.8
1178,Panvel Farmácias,1,96.97
1178,Track & Field,2,1429.3
1213,Giraffas,2,104.5
1213,Renner,1,149.8
1213,Ri Happy Baby,1,99.0
1213,Spoleto,1,38.5
1355,Burger King,1,36.9
1355,Havan,1,271.87
1355,Pittol,1,289.9
1355,Riachuelo,1,29.9
1392,Havan,1,189.97
1392,Livrarias Catarinense,1,89.5
1397,Centauro,1,599.93
1423,Alô Bebê,1,126.4
1423,Aramis,1,599.9
1423,Game Mania,1,1099.9
1423,Imaginarium,2,599.8
1423,Levi's,1,89.9
