loja_nome,segmento,shopping,valor,cupons
.,Ótica,Garten Shopping,17935.24,19
10 Pastéis,Gastronomia,Balneário Shopping,2399.89,66
10 Pastéis,Gastronomia,Garten Shopping,1121.89,31
A Fabulosa,Presentes e Acessórios,Norte Shopping,8038.15,102
ADCOS,Beleza e Bem-estar,Continente Shopping,13209.56,26
ADCOS,Beleza e Bem-estar,Garten Shopping,13253.8,36
ANACAPRI,Calçados,Balneário Shopping,9829.31,43
Acium,Joalheria,Neumarkt Shopping,1930.27,10
Acium,Presentes e Acessórios,Balneário Shopping,1415.2,4
Acium,Presentes e Acessórios,Garten Shopping,114.0,1
Acium,Presentes e Acessórios,Norte Shopping,734.53,5
Acuo,Moda,Nações Shopping,9784.36,40
Acuvue Lentes,Ótica,Balneário Shopping,504.79999999999995,2
Adcos,Beleza e Bem-estar,Balneário Shopping,20444.05,54
Adcos,Beleza e Bem-estar,Nações Shopping,11654.22,22
Adcos,Beleza e Bem-estar,Neumarkt Shopping,17347.2,50
Adidas,Esportes,Garten Shopping,42449.85,80
Adidas,Moda,Balneário Shopping,70996.64,117
Alison Salles Hair Stylist,Salão de Beleza | Barbearia,Neumarkt Shopping,5515.0,19
Altenburg,Casa e Decoração,Balneário Shopping,33039.78,36
Altenburg,Casa e Decoração,Continente Shopping,22330.17,27
Alô Bebê,Infantil,Balneário Shopping,27765.22,97
Alô Bebê,Infantil,Continente Shopping,34292.659999999996,151
Anacapri,Calçados,Neumarkt Shopping,8394.4,38
Anacapri,Lazer,Continente Shopping,12455.99,52
Animale,Moda Feminina,Balneário Shopping,4447.2,4
Anjos Colchões & Sofás,Casa e Decoração,Neumarkt Shopping,34750.0,10
Aramis,Moda,Balneário Shopping,22415.32,22
Aramis,Moda,Neumarkt Shopping,11448.42,16
Aramis Menswear,Moda,Garten Shopping,4858.4,9
Arezzo,Calçados,Continente Shopping,42548.46,104
Arezzo,Calçados,Garten Shopping,19628.47,52
Arezzo,Calçados,Nações Shopping,26983.649999999998,69
Arquipélago  Sushi,Gastronomia,Continente Shopping,294.8,1
Arranjos Express,Serviços,Garten Shopping,52.9,1
Artwalk,Calçados,Balneário Shopping,32350.54,36
Atacadão,Supermercado,Norte Shopping,122783.99,736
Audithorium,Moda,Balneário Shopping,19900.91,42
Audithorium,Moda,Garten Shopping,25870.28,55
Audithorium,Moda,Norte Shopping,3550.37,10
Audithorium Menswear,Moda,Continente Shopping,35399.22,53
Authentic Feet,Moda,Neumarkt Shopping,11842.26,15
Avatim,Beleza e Bem-estar,Nações Shopping,13162.8,62
Avatim,Beleza e Bem-estar,Neumarkt Shopping,53902.25,306
Avatim,Beleza e Bem-estar,Norte Shopping,15434.1,101
Avatim Cheiros Da Terra,Presentes e Acessórios,Garten Shopping,23607.0,150
BRANDO BIKE,Presentes e Acessórios,Continente Shopping,13287.0,13
Baby Bê,Infantil,Neumarkt Shopping,13690.07,40
BabyMee,Infantil,Neumarkt Shopping,289.5,2
Bacio di Latte,Gastronomia,Balneário Shopping,14303.33,270
Bacio di Latte,Gastronomia,Continente Shopping,25828.95,537
Bagaggio,Presentes e Acessórios,Balneário Shopping,3862.85,7
Bagaggio,Presentes e Acessórios,Continente Shopping,17840.03,33
Bagaggio,Presentes e Acessórios,Garten Shopping,13071.92,22
Bagaggio,Presentes e Acessórios,Nações Shopping,3168.8500000000004,6
Bagaggio,Presentes e Acessórios,Neumarkt Shopping,6239.36,16
Balneário Shopping - Estacionamento,Serviços,Balneário Shopping,12130.0,396
Baummer,Joalheria,Nações Shopping,2776.11,24
Baummer Semijóias,Presentes e Acessórios,Garten Shopping,2174.28,14
Beagle,Moda,Balneário Shopping,38587.770000000004,102
Beagle,Moda,Continente Shopping,24535.77,77
Beagle,Moda,Garten Shopping,30060.84,82
Beagle,Moda,Nações Shopping,29421.64,77
Beagle,Moda,Norte Shopping,11819.59,35
BelShop,Beleza e Bem-estar,Nações Shopping,10110.31,110
Belshop,Beleza e Bem-estar,Neumarkt Shopping,21359.93,165
Bennemann | Acessórios,Presentes e Acessórios,Balneário Shopping,10662.5,13
Bergerson,Joalheria,Garten Shopping,429374.85,10
Bibi,Infantil,Balneário Shopping,19467.91,54
Bibi Calçados,Calçados,Garten Shopping,7351.0,19
BioMundo Produtos Naturais,Beleza e Bem-estar,Neumarkt Shopping,4791.0,49
Biscoitê,Calçados,Balneário Shopping,694.3,5
Bkko,Moda,Norte Shopping,9720.38,23
Boali,Gastronomia,Garten Shopping,2963.31,59
Bob's,Gastronomia,Balneário Shopping,1816.7,67
Bob's,Gastronomia,Norte Shopping,1147.59,35
Bob's (Quiosque 1),Gastronomia - Sorvetes,Norte Shopping,24.0,1
Bob's (Quiosque 2),Gastronomia - Sorvetes,Norte Shopping,69.0,4
Bob's - Quiosque,Gastronomia,Nações Shopping,532.6,5
Bob's Sorvete - Quiosque,Gastronomia,Continente Shopping,5084.25,180
Boiko,Joalheria,Balneário Shopping,76960.05,26
Boiko Joalheiros,Joalheria,Norte Shopping,10007.0,5
Bona Park,Moda,Balneário Shopping,3386.87,7
Bondyou,Presentes e Acessórios,Balneário Shopping,2018.1,20
Bonna Panquecas e Massas,Gastronomia,Balneário Shopping,3590.4,57
Boss,Moda,Balneário Shopping,147651.33000000002,52
Botoclinic,Beleza e Bem-estar,Garten Shopping,3615.9,5
Botoclinic,Beleza e Bem-estar,Norte Shopping,1198.0,2
Bottero,Calçados,Balneário Shopping,20649.11,41
Bottero,Calçados,Neumarkt Shopping,22480.95,67
Bowling Blu,Lazer,Norte Shopping,904.0,3
Brando Bike,Lazer,Garten Shopping,2099.01,1
Brando Bike,Outros,Norte Shopping,18370.0,15
Brasil Cacau,Gastronomia,Continente Shopping,7104.33,157
Brooksfield,Moda,Balneário Shopping,41916.41,36
Brooksfield,Moda,Continente Shopping,30371.8,35
Brooksfield,Moda,Garten Shopping,15270.21,24
Brooksfield,Moda,Neumarkt Shopping,43514.99,46
Buddha SPA,Beleza e Bem-estar,Garten Shopping,136.0,1
Buddha Spa,Serviços,Balneário Shopping,460.0,3
Bull Prime Steak House,Gastronomia,Garten Shopping,6446.23,21
Burger King,Gastronomia,Balneário Shopping,5518.7,113
Burger King,Gastronomia,Continente Shopping,15327.58,305
Burger King,Gastronomia,Garten Shopping,6207.969999999999,138
Burger King,Gastronomia,Nações Shopping,4627.28,97
Burger King,Gastronomia,Neumarkt Shopping,11935.699999999999,236
Burger King,Gastronomia,Norte Shopping,8881.44,157
Békko,Moda,Nações Shopping,15043.41,29
C&A,Moda,Balneário Shopping,107390.62,412
C&A,Moda,Continente Shopping,121653.23,526
C&A,Moda,Garten Shopping,97612.22,431
C&A,Moda,Nações Shopping,57182.55,268
CANTINA MATTERELLO RESTAURANTE E PASTELARIA,Gastronomia,Garten Shopping,4533.95,97
CAPA FINA,Telefonia,Garten Shopping,447.33000000000004,7
CELULAR CENTER,Eletrônicos,Continente Shopping,1443.6,8
CLARO,Telefonia,Balneário Shopping,5978.4,2
CLIFIELD,Moda,Continente Shopping,40091.2,67
CVC,Serviços,Garten Shopping,82857.78,12
CVC,Serviços,Norte Shopping,54581.54,4
Cabanas,Moda,Neumarkt Shopping,13375.5,42
Cacau Show,Gastronomia,Balneário Shopping,8954.96,90
Cacau Show,Gastronomia,Continente Shopping,12284.32,134
Cacau Show,Gastronomia,Garten Shopping,30927.78,303
Cacau Show,Gastronomia,Neumarkt Shopping,14894.98,212
Cacau Show,Gastronomia,Norte Shopping,7434.08,110
Café Cultura,Gastronomia,Balneário Shopping,2094.93,45
Café Cultura,Gastronomia,Continente Shopping,4840.04,99
Café Cultura,Gastronomia,Garten Shopping,8894.16,191
Café Cultura,Gastronomia,Neumarkt Shopping,9080.13,196
Calvin Klein,Moda,Balneário Shopping,21791.0,45
Calvin Klein Jeans,Moda,Neumarkt Shopping,7130.0,14
Calvin Klein e Tommy Hilfiger,Moda,Nações Shopping,21136.0,31
Calzedonia,Moda,Balneário Shopping,13763.15,36
Calzedonia,Moda,Garten Shopping,2723.52,11
Calzedonia,Moda Feminina,Continente Shopping,1996.02,4
Camarão Express,Gastronomia,Balneário Shopping,4478.0,52
Camarão Express,Gastronomia,Continente Shopping,13346.29,168
Camarão Express,Gastronomia,Nações Shopping,13876.71,157
Camicado,Casa e Decoração,Balneário Shopping,51857.24,163
Camicado,Casa e Decoração,Garten Shopping,14809.43,67
Camicado,Casa e Decoração,Nações Shopping,21998.95,66
Camicado,Casa e Decoração,Neumarkt Shopping,47916.71,169
Cantinho Grill,Gastronomia,Nações Shopping,1905.4199999999998,34
Carioca Calçados,Calçados,Continente Shopping,45721.05,149
Carter's,Infantil,Garten Shopping,23553.48,74
Carter´s,Infantil,Balneário Shopping,28258.06,92
Cartes - Cozinha do Mundo,Gastronomia,Continente Shopping,23133.27,298
Casa Bauducco,Gastronomia,Garten Shopping,4977.59,96
Casa Maria,Casa e Decoração,Continente Shopping,12021.26,187
Casa Maria,Casa e Decoração,Nações Shopping,8319.57,102
Casas Bahia,Eletrodomésticos,Norte Shopping,150768.94,98
Cases e Capas,Presentes e Acessórios,Nações Shopping,4678.0,16
Cassol Centerlar,Casa e Decoração,Nações Shopping,71092.62,134
Cavezzale,Presentes e Acessórios,Neumarkt Shopping,21065.48,63
Celular Shop,Eletrônicos,Balneário Shopping,2324.9,8
Celulares e Cia.,Eletrônicos,Norte Shopping,2829.0,4
Centauro,Esportes,Balneário Shopping,172459.5,475
Centauro,Esportes,Continente Shopping,118134.44,360
Centauro,Esportes,Garten Shopping,94734.90000000001,310
Centauro,Esportes,Nações Shopping,46404.12,137
Centauro,Esportes,Neumarkt Shopping,137817.56,437
Centauro,Esportes,Norte Shopping,42911.74,141
Chef's & Fritas,Gastronomia,Nações Shopping,1251.9,16
Chilli Beans,Ótica,Balneário Shopping,6956.55,12
Chilli Beans,Ótica,Continente Shopping,6704.2,16
Chilli Beans,Ótica,Garten Shopping,26864.38,54
Chilli Beans,Ótica,Nações Shopping,914.9200000000001,3
Chilli Beans,Ótica,Norte Shopping,12700.34,19
Chiquinho Sorvetes,Gastronomia,Neumarkt Shopping,3477.5,152
Chiquinho Sorvetes,Gastronomia - Sorvetes,Continente Shopping,581.0,24
Chiquinho Sorvetes,Gastronomia - Sorvetes,Garten Shopping,1415.0,61
Chiquinho Sorvetes,Gastronomia - Sorvetes,Norte Shopping,1623.3,76
Chope Do Mestre,Gastronomia,Continente Shopping,684.45,28
Chope do Mestre,Gastronomia,Nações Shopping,643.7,17
Chuá,Moda Feminina,Balneário Shopping,40869.85,50
Chuá Brand,Moda,Garten Shopping,16145.92,32
Chuá Brand,Moda Feminina,Continente Shopping,20241.7,29
Cia Marítima,Moda Feminina,Neumarkt Shopping,16998.0,32
Cia do Homem,Moda,Neumarkt Shopping,36562.44,79
Cia do Terno,Moda,Norte Shopping,10730.0,19
Cinépolis,Lazer,Continente Shopping,5502.5,104
Cinépolis,Lazer,Norte Shopping,1238.0,27
Claro,Telefonia,Continente Shopping,52412.96,13
Claro,Telefonia,Garten Shopping,25.0,1
Claro,Telefonia,Neumarkt Shopping,30647.92,15
Claro,Telefonia,Norte Shopping,18477.8,10
Claro S/a,Telefonia,Balneário Shopping,16438.2,5
Clifield,Moda,Balneário Shopping,28785.45,46
Clube Melissa,Calçados,Balneário Shopping,11133.02,41
Clube Melissa,Calçados,Neumarkt Shopping,16345.17,57
Cobasi,Pets,Continente Shopping,37224.17,309
Cobasi,Pets,Garten Shopping,26968.25,251
Cobasi,Pets,Nações Shopping,22395.16,193
Cobasi,Pets,Neumarkt Shopping,47995.3,353
Cobasi,Pets,Norte Shopping,23867.079999999998,201
Colcci,Moda,Balneário Shopping,1149.0,1
Colcci,Moda,Nações Shopping,37571.1,47
Coliseu,Joalheria,Balneário Shopping,27776.15,11
Coliseu,Joalheria,Garten Shopping,39481.0,13
Companhia da Moda,Moda,Continente Shopping,22436.22,44
Constance,Calçados,Continente Shopping,24439.9,79
Continente Shopping - Estacionamento,Serviços,Continente Shopping,8848.0,462
Cores em Cacau,Gastronomia,Balneário Shopping,530.95,10
Cores em Cacau,Gastronomia,Neumarkt Shopping,255.68,6
